目标语言:,en,zh,lzh,ja,ru
AI翻译游戏开发工具,AI Translation Game Development Tool,AI翻译游戏开发工具,AI翻譯遊戲開發工具,AI翻訳ゲーム開発ツール,AI инструмент для перевода игр
翻译模式:,Translation mode:,翻译模式:,"翻譯模式：
","翻訳モード:

翻訳結果のみを返し、説明は一切追加しないでください。原文が空または記号のみの場合は、原文をそのまま返してください。",Режим перевода:
配置AI服务,Configure AI Service,配置AI服务,配置AI服務,AIサービスの設定,Настройка сервисов ИИ
语言配置,Language Settings,语言配置,語言配置,言語設定,Настройки языка
翻译模板配置,Translation Template Configuration,翻译模板配置,翻譯模板配置,翻訳テンプレート設定,Конфигурация шаблона перевода
知识库配置,Knowledge Base Configuration,知识库配置,,ナレッジベース設定,Настройка базы знаний
源语言:,source Text:,源语言:,"目標語言:

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",,
原文:,Original Text:,原文:,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

原文:",,
译文:,Translation ,译文:,"請將以下中文（簡體）遊戲文本翻譯成繁體中文：

譯文:

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。",,
请输入要翻译的文本.,Please enter the text to be translated…,请输入要翻译的文本...,請輸入要翻譯的文本...,翻訳するテキストを入力してください...,"Пожалуйста, введите текст для перевода..."
翻译结果将显示在这里...,The translation results will be displayed here...,翻译结果将显示在这里...,翻譯結果將顯示在這裡...,翻訳結果がここに表示されます...,Результат перевода будет отображаться здесь...
翻译,Translate,翻译,翻譯,翻訳,Перевод
暂停,Pause,暂停,暫停,一時停止,Пауза
恢复,Restore,恢复,恢復,回復,Восстановить
取消,Cancel,取消,取消,キャンセル,Отмена
进度: 就绪,Progress: Ready,进度: 就绪,進度: 就緒,進捗: 準備完了,Прогресс: Готово
就绪,Ready,就绪,就緒,準備完了,Готово
正在翻译:,Translating:,正在翻译:,正在翻譯:,翻訳中:,Перевод выполняется:
AI服务配置,AI Service Configuration,AI服务配置,AI服務配置,AIサービス設定,Настройка сервиса ИИ
启用OpenAI服务,Enable OpenAI Service,启用OpenAI服务,啟用OpenAI服務,OpenAIサービスを有効にする,Включить сервис OpenAI
API密钥:,API Key:,API密钥:,API金鑰:,APIキー:,API-ключ:
基础URL:,Base URL:,基础URL:,基礎URL:,ベースURL:,Базовый URL:
模型:,Model:,模型:,模型:,モデル:,Модель:
启用Claude服务,Enable Claude Service,启用Claude服务,啟用Claude服務,Claudeサービスを有効にする,Включить сервис Claude
启用百度翻译服务,Enable Baidu Translation Service,启用百度翻译服务,啟用百度翻譯服務,百度翻訳サービスを有効にする,Включить сервис перевода Baidu
输入百度翻译APP ID,Enter Baidu Translate APP ID,输入百度翻译APP ID,輸入百度翻譯APP ID,百度翻訳アプリIDを入力してください,Введите ID приложения Baidu Translate
密钥:,Key:,密钥:,金鑰:,鍵:,Ключ:
输入百度翻译密钥,Enter Baidu Translate API Key,输入百度翻译密钥,輸入百度翻譯密鑰,百度翻訳APIキーを入力,Введите ключ перевода Baidu
启用本地模型服务,Enable Local Model Service,启用本地模型服务,啟用本地模型服務,ローカルモデルサービスを有効にする,Включить локальный сервис моделей
服务URL:,Service URL:,服务URL:,服務URL:,サービスURL:,URL сервиса:
模型名称:,Model Name:,模型名称:,模型名稱:,,Название модели:
提供商:,Provider:,提供商:,提供者:,プロバイダ:,Провайдер:
启用DeepSeek服务,Enable DeepSeek Service,启用DeepSeek服务,啟用DeepSeek服務,DeepSeekサービスを有効にする,Включить сервис DeepSeek
输入DeepSeek API密钥,Enter DeepSeek API Key,输入DeepSeek API密钥,輸入DeepSeek API金鑰,DeepSeek APIキーを入力してください,Введите ключ API DeepSeek
测试连接,Test Connection,测试连接,測試連接,接続テスト,Проверить соединение
保存配置,Save Configuration,保存配置,儲存設定,設定を保存,Сохранить конфигурацию
重置为默认,Reset to Default,重置为默认,重設為預設,デフォルトにリセット,Сбросить настройки по умолчанию
自定义语言代码含义,Custom Language Code Meaning,自定义语言代码含义,自訂語言代碼含義,カスタム言語コードの意味,Пользовательские значения кодов языков
语言配置,Language Settings,语言配置,語言配置,言語設定,Настройки языка
语言代码:,Language code:,语言代码:,語言代碼:,言語コード:,Код языка:
例如: lzh,e.g.: lzh,例如: lzh,例如: lzh,例えば: lzh,Например: lzh
显示名称:,Display Name:,显示名称:,顯示名稱:,表示名:,Отображаемое имя:
例如: 文言文,For example: Classical Chinese,例如: 文言文,例如: 文言文,例えば: 文語文,Например: классический китайский
添加/更新,Add/Update,添加/更新,新增/更新,追加/更新,Добавить/Обновить
保存配置,Save Configuration,保存配置,儲存設定,設定を保存,Сохранить конфигурацию
重置为默认,Reset to Default,重置为默认,重設為預設,デフォルトにリセット,Сбросить настройки по умолчанию
翻译模板管理,Translation Template Management,翻译模板管理,翻譯模板管理,翻訳テンプレート管理,Управление шаблонами перевода
模板列表,Template List,模板列表,範本列表,テンプレートリスト,Список шаблонов
模板名称:,Template Name:,模板名称:,範本名稱:,テンプレート名:,Название шаблона:
描述:,Description:,描述:,描述:,"説明:

翻訳結果のみを返し、説明は一切追加しないでください。原文が空欄または記号のみの場合は、原文をそのまま返してください。","Описание:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, возвращайте исходный текст."
系统提示词:,System prompt words:,系统提示词:,系統提示詞:,システムメッセージ:,Системное сообщение:
用户提示词模板:,User prompt template:,用户提示词模板:,"用戶提示詞模板:

請只返回翻譯結果，不要添加任何解釋。如果原文為空或只包含符號，請返回原文。","ユーザープロンプトテンプレート:

翻訳結果のみを返し、説明は一切追加しないでください。原文が空または記号のみの場合は原文を返してください。","Шаблон подсказки пользователя:

Пожалуйста, возвращайте только результат перевода без каких-либо пояснений. Если исходный текст пуст или содержит только символы, верните исходный текст."
可用变量: {source_language} {target_language} {text},Available variables: {source_language} {target_language} {text},可用变量: {source_language} {target_language} {text},可用變數: {source_language} {target_language} {text},使用可能な変数: {source_language} {target_language} {text},Доступные переменные: {source_language} {target_language} {text}
保存模板,Save Template,保存模板,儲存範本,テンプレートを保存,Сохранить шаблон
重置,Reset,重置,重置,リセット,Сброс
导入,Input,导入,導入,インポート,Импорт
导出,Export,导出,匯出,エクスポート,Экспорт
知识库配置,Knowledge Base Configuration,知识库配置,知識庫配置,ナレッジベース設定,Настройка базы знаний
知识库路径配置,Knowledge Base Path Configuration,知识库路径配置,知識庫路徑配置,ナレッジベースパス設定,Настройка пути к базе знаний
启用知识库功能,Enable Knowledge Base Feature,启用知识库功能,啟用知識庫功能,ナレッジベース機能を有効にする,Включить функцию базы знаний
